id_idioma_1;id_idioma_2;ds_frase_idioma_1;ds_frase_idioma_2;ds_frase_idioma_2_observacao;nm_arquivo_imagem;nm_arquivo_som
1;2;minha antiga regi∆o;xe ret∆mbñera;Citaá∆o: Anch., Poemas, 152;;
1;2;Hei de ser bom.;Xe katupe k†...;Citaá∆o: Anch., Teatro, 38;;
1;2;Furou tambÇm minha cabeáa.;...Omombuk-y bÇ xe akanga.;Citaá∆o: Anch., Teatro, 126;;
1;2;Que disseram seus advers†rios, indo?;Mar∆ e'ipe supåarñera os¢bo?;Citaá∆o: Ar., Cat., 64;;
1;2;tipo de corte de cabelo dos °ndios (etim. - cabelo de morcego);andyr†-'aba;Citaá∆o: VLB, II, 137;;
1;2;Apressa-te, corre, vem!...;Nde apñan, enhan, eåu!...;Citaá∆o: Anch., Teatro, 58;;
1;2;Diz-se que vou.;As¢ ra'e.;Citaá∆o: Anch., Arte, 57v;;
1;2;Saiu para o p†tio.;Osem okarype...;Citaá∆o: Ar., Cat., 57v;;
1;2;Usaste feitiáo?;Mosangape ereåpuru...?;Citaá∆o: Anch., Teatro, 12;;
1;2;Como os inimigos e os soldados, apanhando-o, trataram-no, ent∆o?;Mar∆pe tobaåaret†, maranaritekoara, i pysyka, serek¢ñ a'ereme?;Citaá∆o: Ar., Cat., 56v;;
1;2;Semelhante a uma roupa de quereju† que brilha mais que o sol.;A¢-kereåñ† kñarasy sosÇ oberaba'e nungara...;Citaá∆o: Ar., Cat., 37v;;
1;2;rego d'†gua;y rapÇ;Citaá∆o: VLB, I, 65;;
1;2;Veio um grande chefe.;O£ tubix†-katu...;Citaá∆o: Anch., Poemas, 138;;
1;2;T∆o logo indo eu, ele veio.;Xe s¢ abÇ turi.;Citaá∆o: Anch., Arte, 46;;
1;2;A gente os tem cada um o seu pr¢prio (anjo da guarda)?;O åabi'‰pe asÇ serek¢ñ?;Citaá∆o: Ar., Cat., 23v;;
1;2;Fi-lo apresador de mim (isto Ç, deixei-me vencer por ele).;Aåmoembiaryåar ah? xe åoesÇ.;Citaá∆o: VLB, I, 93;;
1;2;N∆o por sair eu.;Na xe s?mbeå.;Citaá∆o: Anch., Arte, 47v;;
1;2;N∆o faz efeito, Ös vezes, nosso remÇdio.;Sarñab am‰me asÇ posangygñaba...;Citaá∆o: Anch., Doutr. Crist∆, II, 78;;
